Date,City,State
2/13/17 9:01,Phoenix,AZ
2/13/17 15:37,Cincinnati,OH
2/13/17 16:56,Louisville,KY
2/13/17 18:37,Thibodaux,LA
2/14/17 11:55,Davis,CA
2/14/17 13:45,Harrisburg,IL
2/14/17 16:11,Danville,VA
2/14/17 16:11,San Luis Obispo,CA
2/14/17 18:15,San Diego,CA
2/14/17 21:04,Rockford,IL
2/15/17 7:00,Seattle,WA
2/15/17 10:26,San Francisco,CA
2/15/17 11:07,Joplin,MO
2/15/17 11:07,Fairfield,Connecticut
2/15/17 13:00,Greensboro,NC
2/15/17 13:41,New York,New York
2/15/17 23:31,Sacramento,CA
2/17/17 7:18,New York,NY
2/17/17 13:22,Lansing,MI
2/17/17 14:41,New York,NY
2/17/17 15:55,Woods Hole,MA
2/18/17 6:01,Redwood City,CA
2/20/17 17:07,Greensboro,NC
2/21/17 13:22,New York,NY
2/21/17 14:18,Olympia,Washington
2/21/17 15:26,Orlando,FL
2/21/17 15:50,St. Louis,MO
2/21/17 16:33,Los Angeles,CA
2/22/17 5:08,Rock Hill,SC
2/22/17 7:45,Wichita,KS
2/22/17 8:05,Washington,DC
2/22/17 8:41,Lexington,KY
2/22/17 9:01,Norfolk,Virginia
2/23/17 1:00,New York,NY
2/23/17 1:33,Everett,WA
2/23/17 4:22,Owosso,MI
2/23/17 5:07,Butler,PA
2/23/17 5:19,Merced,CA
2/23/17 5:28,San Francisco,CA
2/23/17 5:41,New York,NY
2/23/17 7:22,Kansas City,MO
2/23/17 8:14,New York,New York
2/23/17 8:57,New York,NY
2/23/17 10:28,Pittsburgh,PA
2/23/17 11:45,Cadillac,MI
2/23/17 12:38,Allentown,PA
2/23/17 14:30,New York,NY
2/23/17 14:52,Allentown,PA
2/23/17 15:26,Albany,NY
2/23/17 17:07,Westminster,MD
2/23/17 17:07,Lancaster,PA
2/23/17 19:07,Altadena,California
2/23/17 19:45,St. Louis,MO
2/23/17 22:00,Las Vegas,NV
2/23/17 23:37,Birmingham,MI
2/24/17 0:51,New Bern,NC
2/24/17 0:58,Rockford,IL
2/24/17 1:04,New York,NY
2/24/17 1:45,Columbia,South Carolina
2/24/17 1:45,Midland,TX
